company_name,primary_role,domain,homepage_url,country_code,state_code,region,city,zipcode,address,status,short_description,category_list,category_group_list,funding_rounds,funding_total_usd,founded_on,first_funding_on,last_funding_on,closed_on,employee_count,email,phone,facebook_url,cb_url,logo_url,profile_image_url,twitter_url,uuid,created_at,updated_at
Carrot,company,carrot.mx,http://www.carrot.mx/site,MEX,,Mexico City,Mexico City,06600,Londres 175,operating,Mexico's First Car Sharing Company,public transportation,transportation,2,2000000,2012-03-08,2014-03-31,2016-09-21,,11-50,info@carrot.mx,+52 12091500,http://www.facebook.com/carrotmx,https://www.crunchbase.com/organization/carrot-mx,https://www.crunchbase.com/organization/carrot-mx/primary-image/raw,http://public.crunchbase.com/t_api_images/v1397187659/3161144cd445a58290f66453b20eb483.gif,https://www.twitter.com/carrotmx,3d8f9882-f308-5149-65ee-d92883e20bc7,2012-10-27 05:35:15,2016-09-10 17:39:47.063103
d.light design,company,dlight.com,http://www.dlight.com,CYM,,Cayman Islands,Grand Cayman,KY1-1108,"Clifton House, 75 Fort Street, PO Box 1350, Suite 300",operating,d.light's enables households without reliable electricity to attain the same quality of life as those with electricity.,energy|renewable energy|solar,energy|natural resources|sustainability,6,45000000,2007-01-01,2008-11-10,2016-09-21,,51-100,,+91 120 454 7701,http://www.facebook.com/dlightdesigninc,https://www.crunchbase.com/organization/d-light-design,https://www.crunchbase.com/organization/d-light-design/primary-image/raw,http://public.crunchbase.com/t_api_images/v1440785053/ee0ozr4jkjdp5wef74uv.png,https://www.twitter.com/dlightdesign,06eb75d0-4bb5-5554-0310-470f10d38ce9,2009-06-19 00:53:53,2016-09-21 20:53:43.85358
eQuickes,company,equickes.com,http://equickes.com/,,,,,,,operating,India’s leading Educational Solutions Providers.,,,1,298000,,2016-09-21,2016-09-21,,-,,,https://www.facebook.com/equickes,https://www.crunchbase.com/organization/equickes,https://www.crunchbase.com/organization/equickes/primary-image/raw,http://public.crunchbase.com/t_api_images/v1474452611/pdyisvpjrkuogwnphkca.png,https://www.twitter.com/equickes,623fcb65-7ee0-a4fe-8c7a-ba325e362538,2016-09-21 10:10:26.755866,2016-09-23 04:02:19.453296
GreenLight Medicines,company,greenlightmedicines.com,http://www.greenlightmedicines.com/,,,,,,,operating,GreenLight Medicines is a biopharmaceutical company .,,,1,558430.43818175,2014-01-01,2016-09-21,2016-09-21,,-,,,,https://www.crunchbase.com/organization/greenlight-medicines,https://www.crunchbase.com/organization/greenlight-medicines/primary-image/raw,http://public.crunchbase.com/t_api_images/v1474434447/vwkqtme8smdaaexxwz7h.png,,b5e60252-a852-e035-0508-0c88f9926268,2016-09-21 05:08:31.03194,2016-09-21 05:13:37.463828
InvestCloud,company,investcloud.com,http://www.investcloud.com,USA,CA,Los Angeles,Beverly Hills,90211,"8800 Wilshire Blvd, Ste 200",operating,InvestCloud deploys custom enterprise software and outsourced operations.,cloud management|outsourcing|software,information technology|internet services|professional services|software,4,54060000,,2010-08-29,2016-09-21,,-,Sales@InvestCloud.com,,,https://www.crunchbase.com/organization/investcloud,https://www.crunchbase.com/organization/investcloud/primary-image/raw,http://public.crunchbase.com/t_api_images/v592vemsbmigcr4ovbpw.png,,da0dac7a-57c8-a80b-7cc5-195789540a96,2013-12-20 19:39:41,2016-09-22 05:59:06.509894
Khel Now,company,khelnow.com,https://khelnow.com/,,,,,,,operating,Khel Now connects sports fans and other stakeholders,,,1,350000,,2016-09-21,2016-09-21,,11-50,,,,https://www.crunchbase.com/organization/khel-now,https://www.crunchbase.com/organization/khel-now/primary-image/raw,http://public.crunchbase.com/t_api_images/v1474451673/ys7nc4giececqy7aruz1.png,https://www.twitter.com/khelnow,358d77e9-e1f3-b028-8427-7e524535f49e,2016-09-21 09:55:00.032159,2016-09-23 04:04:13.701198
Koobee,company,koobee.co,http://www.koobee.co,AUS,,Melbourne,Melbourne,3000,520 Bourke St,operating,Koobee helps you find the perfect gift for any occasion. Say goodbye to stressful shopping and unwanted gifts forever.,retail technology,commerce and shopping|hardware|software,1,200000,2014-01-01,2016-09-21,2016-09-21,,-,,,https://www.facebook.com/getkoobee,https://www.crunchbase.com/organization/koobee,https://www.crunchbase.com/organization/koobee/primary-image/raw,http://public.crunchbase.com/t_api_images/v1436777405/sw3jq7og6h4wohy6eolg.jpg,https://www.twitter.com/getkoobee,7dae91cc-9f1f-6239-edbd-abd8e18acd1e,2015-07-13 15:27:03,2016-08-02 04:10:40.731634
Mobilize,company,mobilize.io,https://www.mobilize.io,USA,CA,SF Bay Area,San Francisco,94108,"209 Kearny Street, 3rd Floor",operating,Mobilize is a group communication solution designed to help businesses organize and communicate with their networks of partners.,communities|enterprise software|saas,community and lifestyle|software,3,8500000,2014-01-01,2014-11-25,2016-09-21,,11-50,info@mobilize.io,,http://www.facebook.com/mobilize.io,https://www.crunchbase.com/organization/mobilize-2,https://www.crunchbase.com/organization/mobilize-2/primary-image/raw,http://public.crunchbase.com/t_api_images/v1427691034/otagn2mmbjospqttj1e4.png,https://www.twitter.com/mobilize_io,9241f347-dcd3-e98a-f16f-6a931807954b,2014-09-19 07:43:42,2016-09-22 23:49:54.432444
Nav,company,nav.com,https://www.nav.com/,USA,CA,SF Bay Area,San Mateo,94402,"4 West 4th Avenue, Suite 400",operating,Nav is a another step in our mission to help millions of business,financial services,financial services,3,32500000,2012-05-01,2013-05-15,2016-09-21,,51-100,support@nav.com,1(855)226-8388,https://www.facebook.com/navsmb,https://www.crunchbase.com/organization/creditera,https://www.crunchbase.com/organization/creditera/primary-image/raw,http://public.crunchbase.com/t_api_images/v1397187847/2c2eb3cfce49a87a62049bc0268bcd62.png,https://www.twitter.com/navsmb,61daf8a8-2d27-2db0-bce7-cac8cc83589e,2013-05-10 05:48:07,2016-09-22 19:11:03.296762
Nested,company,nested.com,https://nested.com/,GBR,,London,London,,"The Stables, 28 Britannia Street",operating,UK-based platform for homeowners to sell their homes within 90 days,,,1,1560887.62476262,2015-12-01,2016-09-21,2016-09-21,,-,help@nested.com,+4402038567856,https://www.facebook.com/nesteddotcom/?ref=page_internal,https://www.crunchbase.com/organization/nested-2,https://www.crunchbase.com/organization/nested-2/primary-image/raw,http://public.crunchbase.com/t_api_images/v1474450433/kkjuwp0vd5ztsypfbw3m.png,https://www.twitter.com/nested_com,b74de857-b46e-c6fd-c5d9-53747f093770,2016-09-21 09:34:01.46126,2016-09-22 05:10:52.394248
